dimension,segment,customer_count,avg_visit_frequency,avg_ticket,avg_estimated_period_spend,estimated_period_spend,customer_share,spend_share
Estrato socioeconomico,Muy Alto,799,7.48,68.75,509.1,406772.8,0.251,0.5653
Estrato socioeconomico,Alto,1159,5.0,40.09,200.63,232527.19,0.3641,0.3231
Estrato socioeconomico,Medio,783,3.48,24.88,87.21,68283.59,0.246,0.0949
Estrato socioeconomico,Bajo,442,1.57,13.43,27.24,12040.22,0.1389,0.0167
Membresia premium,Sí,1694,6.0,52.18,331.91,562259.51,0.5322,0.7813
Membresia premium,No,1489,3.38,25.8,105.68,157364.29,0.4678,0.2187
